rank,uid,username,type
1,38133,FayeVL,提督
2,96957,ルルティエ,提督
3,452196256,无糖香草可乐,提督
4,2512897,山下住一丁,提督
5,381534568,sayakadead,提督
6,12501775,コンプランド,提督
7,6454674,DigAPony,提督
8,12422769,Beartooth90,提督
9,931185,テストテスト,提督
10,15256555,sky_hood,舰长
11,520352,黑镰刀,舰长
12,49337,无公害沙包,舰长
13,342447,任意子,舰长
14,666671,Miki的麦麦,舰长
15,553301,镜晓文,舰长
16,16011437,特别驹,舰长
17,5155551,科罗娜青柠,舰长
18,356404138,Rapturre,舰长
19,1829374,ムサシノタクミ,舰长
20,105402,清新正直HHP,舰长
21,10786214,千万ly,舰长
22,8772065,Yukari_YuRI,舰长
23,3182660,影月LuneZ,舰长
24,356189,Heavens Feel,舰长
25,735538,AOZAKI-YUI,舰长
26,25593802,同调群单推人,舰长
27,1920686335,无敌企鹅王,舰长
28,1603612,月ノneet,舰长
29,5812842,弥之鸣,舰长
30,2513015,エーワックス-2434,舰长
31,11034077,へーぴー,舰长
32,18363194,岁星昼见,舰长
33,4921755,アルカローズ,舰长
34,4304729,清光高校地雷部,舰长
35,12036148,寇塔娜哪去了,舰长
36,1155425566,希侑Kiyuu,舰长
37,5801333,低级咬人细胞,舰长
38,925,911,舰长
39,104492,随风旅鸟与未知之风,舰长
40,11546675,贝尔纳德C3,舰长
41,537436,-佑树KeroroOvO-,舰长
42,7913853,阿贝莉娅-弗洛亚,舰长
43,394942544,咳哈哈哈哼哼,舰长
44,1971336,犭苗犭苗ホホ,舰长
45,7864667,奈亚子从不发糖,舰长
46,26465,一个大光头都没有,舰长
47,281163151,怎么改个名字啊,舰长
48,229101190,不稳定层结,舰长
49,287341,マスイカ,舰长
50,774372,黑糖香草摩卡,舰长
51,4206472,Flanker-16,舰长
52,44319213,11K5D6A,舰长
53,123785,灯十走十走十走,舰长
54,2699660,朝日奈未來,舰长
55,13026101,Naglfar-,舰长
56,511821,CureMagical,舰长
57,5460965,松石绿的钢,舰长
58,12037051,岛那灯,舰长
59,3896,Primula,舰长
60,132270,柒の白白,舰长
61,6949826,里见光钻,舰长
62,16171733,铃鹿Toshi,舰长
63,7180032,无为無為,舰长
64,48934997,感应性本能,舰长
65,343691814,Noneither,舰长
66,6165418,一号机测试机师,舰长
67,127743,_露露比,舰长
68,1397965,雨宫ノエル,舰长
69,2388727,凉菓,舰长
70,936269,紳士君P,舰长
71,14354112,EndlessDice,舰长
72,150038690,坚守阵地卢载铉,舰长
73,510933,凉风咩时候改二,舰长
74,20568160,小小青哇不输风雨,舰长
75,4072141,云水暮烟,舰长
76,1874852,YaMacoffe,舰长
77,372454,有栖ヒロ,舰长
78,3799624,不苦大仇深的橘子,舰长
79,13573100,zerobom,舰长
80,275274,伞木希美时运不济,舰长
81,2290770,夕月秋乃,舰长
82,2650864,羽落魂龛,舰长
83,569267,鵺鸮,舰长
84,3925567,hooudp,舰长
85,12974,蓬萊山空,舰长
86,282198,高雅艺术中心,舰长
87,109152708,孤独熊Kuma,舰长
88,3959318,音流Cymatics,舰长
89,38636696,Hiyori晓,舰长
90,19135552,田草風Nnk,舰长
91,177462569,Curse_Zzzz,舰长
92,23034348,妲丽安Desu,舰长
93,22872272,路过的取名困难症患者,舰长
94,34728574,第六号云端机器人,舰长
95,443066653,毛线毛裤qaq,舰长
96,2495576,spiece,舰长
97,8332693,饭桶事你少管,舰长
98,22805267,添棠霓投車,舰长
99,598003,莱茵点,舰长
100,502895183,也文攝輝,舰长
101,8359,elshaddoll,舰长
102,5700843,千化万变式,舰长
103,94809389,夜闻啼雁,舰长
104,7732866,超级低气压,舰长
105,1078161624,いしとびかんな,舰长
106,155720983,五十米-深藍,舰长
107,12242538,嘉文从小就很可爱,舰长
108,175534794,sorinX,舰长
109,11210842,莉丶羽,舰长
110,10181310,流转生死,舰长
111,536365,鸢尾百合,舰长
112,11224047,椎名真白偷吃冰糖葫芦,舰长
113,22642353,夜雪想喝芝士抹茶,舰长
114,158603,chomikuplus,舰长
115,1822772500,天球仪观测者,舰长
116,690608698,瑞娅_Rhea,舰长
117,69278170,旅团茶绘猫,舰长
118,31833166,VoidOne,舰长
119,486937583,红白鬼巫,舰长
120,270635549,被子里全是虫惑魔,舰长
121,1764112,Igno-,舰长
122,3661408,仮面騎空士,舰长
123,141917,BBBtea゛,舰长
124,11347396,傻坐着发愣,舰长
125,194091080,弥希今天喝岩浆,舰长
126,35903667,叶赫H,舰长
127,20186995,黇鹿dmdm,舰长
128,7367780,里莲花,舰长
129,34470629,五块钱能吃什么,舰长
130,1645359409,牛奶巧克力厨,舰长
131,55616372,二条信佑,舰长
132,34571714,茶茶ちゃちゃ,舰长
133,20841088,元海单推人,舰长
134,1558487,我的小规模月亮,舰长
135,14482688,AAlieeeen,舰长
136,87867364,昭暮云,舰长
137,2249185,带带青花鱼,舰长
138,397520797,HokazeJunko,舰长
139,2251472,雷风雨电,舰长
140,4260554,月映LANE,舰长
141,779080,永遠與須臾的罪人,舰长
142,1433435,園子し,舰长
143,6036699,内巻玉子,舰长
144,543614169,花音琉歌,舰长
145,159019,九重雪会,舰长
146,209062518,上官追风,舰长
147,88013991,君陌おきられない,舰长
148,8396429,airstone42,舰长
149,2565503,月夜辰,舰长
